id;district_id;name;zip_code
1501011004;150101;LEMPUR TENGAH;NULL
1501012001;150101;SELAM PAUNG;37174
1501012002;150101;AIR MUMU;37174
1501012003;150101;LEMPUR MUDIK;37174
1501012005;150101;MASGO;37174
1501012006;150101;LEMPUR HILIR;37174
1501012011;150101;KEBUN BARU;37174
1501012012;150101;PERIKAN TENGAH;37174
1501012013;150101;DUSUN BARU LEMPUR;37174
1501012016;150101;SUNGAIHANGAT;NULL
1501012018;150101;MANJUNTO LEMPUR;37174
1501012019;150101;KEBUN LIMA;NULL
1501022001;150102;SANGGARAN AGUNG;37172
1501022002;150102;KOTA BARU SANGGARAN AGUNG;37172
1501022003;150102;PENDUNG TALANG GENTING;NULL
1501022004;150102;SELEMAN;37172
1501022005;150102;TEBING TINGGI;37172
1501022006;150102;CUPAK;37172
1501022007;150102;TANJUNGTANAH;NULL
1501022008;150102;KOTO TENGAH;37172
1501022009;150102;KOTO IMAN;37172
1501022010;150102;UJUNG PASIR;37172
1501022011;150102;KOTO PETAI;37172
1501022012;150102;KOTO SALAK;37172
1501022013;150102;SIMPANG EMPAT;37172
1501022014;150102;TALANG KEMULUN;37172
1501022015;150102;DUSUN BARU TANJUNG TANAH;37172
1501022016;150102;PASAR SORE SELEMAN;37172
1501022017;150102;KOTO TUO UJUNG PASIR;37154
1501022018;150102;TANJUNGHARAPAN;NULL
1501022019;150102;AGUNG KOTO IMAN;NULL
1501042001;150104;KAYU ARO AMBAI;37171
1501042002;150104;BUNGA TANJUNG;37171
1501042004;150104;SEMERAH;37171
1501042005;150104;SEBUKAR;37171
1501042008;150104;HIANG TINGGI;37171
1501042009;150104;AMBAI ATAS;37171
1501042010;150104;TANJUNGMUDO;NULL
1501042011;150104;PENDUNG TENGAH;37171
1501042012;150104;PENDUNG HILIR;37171
1501042013;150104;KOTO BARU HIANG;37171
1501042014;150104;BETUNG KUNING;37171
1501042025;150104;PONDOK BERINGIN;37171
1501042026;150104;AMBAI BAWAH;37171
1501042028;150104;HIANG KARYA;37171
1501042029;150104;HIANG LESTARI;37171
1501042030;150104;ANGKASA PURA;37171
1501042031;150104;HIANG SAKTI;37171
1501042032;150104;BARU SEMERAH;37171
1501042033;150104;KOTO SEKILAN AMBAI;NULL
1501042034;150104;PENAWAR TINGGI;NULL
1501052002;150105;BARU SEMURUP;NULL
1501052004;150105;KOTO DUA LAMA;37161
1501052012;150105;KOTO DI AIR;37161
1501052013;150105;PASAR SEMURUP;37161
1501052014;150105;BALAI;37161
1501052015;150105;KOTO MAJIDIN HILIR;37161
1501052016;150105;PENDUNG HILIR;37161
1501052018;150105;PENDUNG MUDIK;37161
1501052022;150105;AIR TENANG;37161
1501052024;150105;MUARA SEMERAH;37161
1501052029;150105;KOTO MAJIDIN MUDIK;37161
1501052035;150105;MUARA SEMERAH MUDIK;37161
1501052036;150105;SAWAHAN KOTO MAJIDIN;37161
1501052037;150105;SAWAHAN JAYA;NULL
1501052038;150105;KOTO MAJIDIN DI AIR;NULL
1501052039;150105;PENDUNG TENGAH;NULL
1501061009;150106;SIULAK DERAS;NULL
1501062010;150106;SUNGAIBETUNG HILIR;NULL
1501062011;150106;SUNGAIBATU GANTIH;37162
1501062012;150106;TANJUNGGENTING;NULL
1501062013;150106;SIMPANG TUTUP;37162
1501062014;150106;SUKO PANGKAT;37162
1501062015;150106;SUNGAIBETUNG MUDIK;37162
1501062016;150106;DANAUTINGGI;NULL
1501062017;150106;SUNGAIGELAMPEH;NULL
1501062018;150106;SIULAK DERAS MUDIK;37162
1501062019;150106;SIULAK TENANG;37162
1501062039;150106;SUNGAI BATU GANTIH HILIR;37162
1501062040;150106;BARU SUNGAI BETUNG MUDIK;37162
1501062041;150106;TANJUNGGENTING MUDIK;NULL
1501062042;150106;AIR BETUNG;NULL
1501062043;150106;UJUNG LADANG;NULL
1501072004;150107;TARUTUNG;37175
1501072006;150107;LUBUK PAKU;37175
1501072007;150107;TAMIAI;37175
1501072008;150107;PEMATANG LINGKUNG;37175
1501072009;150107;PASAR TAMIAI;37175
1501072010;150107;SEBERANG MERANGIN;37175
1501072011;150107;BARU PULAU SANGKAR;NULL
1501072013;150107;BATANG MERANGIN;37175
1501072014;150107;MUARA HEMAT;37175
1501082001;150108;JUJUN;37173
1501082002;150108;TALANG LINDUNG;37173
1501082003;150108;KELURU;NULL
1501082004;150108;PIDUNG;37173
1501082005;150108;TANJUNGBATU;NULL
1501082006;150108;BENIK;37173
1501082007;150108;KT TUO P. TENGAH;NULL
1501082008;150108;KT. DIAN P. TENGAH;NULL
1501082009;150108;TANJUNGPAUH MUDIK;NULL
1501082010;150108;TANJUNGPAUH HILIR;NULL
1501082011;150108;SEMERAP;37173
1501082012;150108;LEMPUR DANAU;37173
1501082013;150108;DSN. BARU P. TENGAH;NULL
1501082014;150108;KOTO BARU SEMERAP;37173
1501082015;150108;KOTO PATAH;37173
1501082016;150108;PUNAI MERINDU;37173
1501082017;150108;PONDOK SAGUANG;37173
1501082018;150108;TELAGO;37173
1501082019;150108;KOTO AGUNG;37173
1501082020;150108;PANCURAN TIGA;37173
1501082021;150108;PERMAI BARU;37173
1501082022;150108;PULAUTENGAH;NULL
1501082023;150108;KOTO BARU;37173
1501082024;150108;PASAR SEMERAP;37173
1501082025;150108;JEMBATAN MERAH PULAU TENGAH;NULL
1501082026;150108;LIMOK MANAIH PULAU TENGAH;NULL
1501082027;150108;PASAR JUJUN;NULL
1501082028;150108;PANCURAN BANGKO;NULL
1501082029;150108;SUMUR JAUH;NULL
1501082030;150108;KOTO TENGAH;37172
1501082031;150108;BUKITPULAI;NULL
1501082032;150108;SERUMPUN PAUH;NULL
1501092010;150109;KOTO TUO;37163
1501092011;150109;SUNGAITANDUK;37163
1501092012;150109;KERSIK TUO;37163
1501092013;150109;SANGIR;37163
1501092014;150109;KOTO BARU;37163
1501092015;150109;KOTO PANJANG;37163
1501092016;150109;KOTO TENGAH;37163
1501092017;150109;SUNGAIBENDUNG AIR;NULL
1501092022;150109;SUNGAISAMPUN;NULL
1501092024;150109;BEDENG BARU;37163
1501092025;150109;BATANG SANGIR;37163
1501092030;150109;SUNGAIDALAM;NULL
1501092038;150109;KOTO PERIANG;37163
1501092039;150109;LINDUNG JAYA;37163
1501092041;150109;RENAH KASAH;37163
1501092042;150109;PASAR SUNGAI TANDUK;37163
1501092043;150109;MEKAR SARI;37163
1501092045;150109;MEKAR JAYA;37163
1501092047;150109;SANGIR TENGAH;NULL
1501092048;150109;TANJUNGBUNGO;NULL
1501092049;150109;BENDUNG AIR TIMUR;NULL
1501112001;150111;KEMANTAN TINGGI;37153
1501112002;150111;KEMANTAN KEBALAI;37153
1501112003;150111;KEMANTAN DARAT;37153
1501112004;150111;SUNGAIABU;NULL
1501112005;150111;PONDOK SUNGAIABU;NULL
1501112006;150111;KOTO TEBAT;37153
1501112007;150111;SUNGAIMEDANG;NULL
1501112008;150111;AIR HANGAT;37153
1501112009;150111;BARU SUNGAI TUTUNG;NULL
1501112010;150111;PUNGUT TENGAH;37153
1501112011;150111;PUNGUT HILIR;37153
1501112012;150111;PUNGUT MUDIK;37153
1501112014;150111;KEMANTAN HILIR;37153
1501112015;150111;SUNGAITUTUNG;37153
1501112018;150111;KEMANTAN AGUNG;37153
1501112019;150111;SUNGAIDERAS;NULL
1501112020;150111;KEMANTAN MUDIK;37153
1501112021;150111;SIMPANG EMPAT SUNGAI TUTUNG;37153
1501112022;150111;BARU SUNGAIDERAS;NULL
1501112023;150111;TAMAN JERNIH SUNGAITUTUNG;NULL
1501112024;150111;BARU SUNGAIMEDANG;NULL
1501112025;150111;KEMANTAN RAYA;NULL
1501112026;150111;BARU AIR HANGAT;NULL
1501112027;150111;AIR PANAS SUNGAIABU;NULL
1501112028;150111;BARU SUNGAIABU;NULL
1501152001;150115;SUNGAIRUMPUN;NULL
1501152002;150115;SUNGAISIKAI;NULL
1501152003;150115;TANGKIL;37164
1501152004;150115;PELOMPEK;37164
1501152005;150115;JERNIH JAYA;37164
1501152006;150115;BENGKOLAN DUO;37164
1501152007;150115;LUBUK PAUH;37164
1501152008;150115;TELUN BERASAP;37164
1501152009;150115;BUMBUN DURI;37164
1501152010;150115;PESISIR BUKIT;37164
1501152011;150115;PAUH TINGGI;37164
1501152012;150115;SUNGAIJERNIH;NULL
1501152013;150115;PELOMPEK PASAR BARU;37164
1501162001;150116;SIULAK GEDANG;37167
1501162004;150116;PASAR SIULAK GEDANG;37167
1501162005;150116;SIULAK PANJANG;37167
1501162006;150116;SIULAK KECIL MUDIK;37167
1501162007;150116;KOTO RENDAH;37167
1501162009;150116;LUBUK NAGODANG;37167
1501162010;150116;SUNGAIPEGEH;NULL
1501162011;150116;SUNGAILEBUH;NULL
1501162012;150116;KOTO KAPEH;37167
1501162013;150116;KOTO BERINGIN;37167
1501162014;150116;DUSUN BARU;37167
1501162015;150116;DUSUN DALAM;37167
1501162016;150116;AIR TERJUN;37167
1501162019;150116;KOTO ARO;37167
1501162021;150116;KOTO LEBUH TINGGI;37167
1501162024;150116;SIULAK KECIL HILIR;37167
1501162025;150116;KOTO TENGAH;37163
1501162028;150116;TELAGO BIRU;37167
1501162030;150116;TUTUNG BUNGKUK;37167
1501162033;150116;BARU SUNGAIPEGEH;NULL
1501162034;150116;BENDAR SEDAP;NULL
1501162035;150116;PLAK NANEH;NULL
1501162036;150116;PADANG JANTUNG;NULL
1501162038;150116;PELAK GEDANG;NULL
1501162039;150116;DEMONG SAKTI;NULL
1501162040;150116;PASAR SENEN;NULL
1501172001;150117;BELUI;NULL
1501172002;150117;BARU KUBANG;NULL
1501172003;150117;KOTO PANJANG;NULL
1501172004;150117;KUBANG GEDANG;NULL
1501172005;150117;SEMUMU;NULL
1501172006;150117;BELUI TINGGI;NULL
1501172007;150117;KOTO TUO;NULL
1501172008;150117;KOTO PAYANG;NULL
1501172009;150117;TEBAT IJUK;NULL
1501172010;150117;SEKUNGKUNG;NULL
1501172011;150117;SIMPANG BELUI;NULL
1501172012;150117;KOTO LANANG;NULL
1501172013;150117;LADEH;NULL
1501172014;150117;LUBUK SULI;NULL
1501172015;150117;KAYU AHO MANGKAK KOTO LANANG;NULL
1501172016;150117;TAMBAK TINGGI;NULL
1501172017;150117;KUBANG AGUNG;NULL
1501172018;150117;TEBAT IJUK DILI;NULL
1501172019;150117;KOTO SIMPAI KUBANG;NULL
1501172020;150117;PAHLAWAN BELUI;NULL
1501182001;150118;MUKAI HILIR;37166
1501182002;150118;MUKAI TENGAH;37166
1501182003;150118;MUKAI MUDIK;37166
1501182004;150118;SENIMPIK;37166
1501182005;150118;TEBING TINGGI;NULL
1501182006;150118;MUKAI TINGGI;37166
1501182007;150118;MUKAI PINTU;37166
1501182008;150118;SUNGAILANGKAP;NULL
1501182009;150118;PASIR JAYA;37166
1501182010;150118;SUNGAIKUNING;NULL
1501182011;150118;MUKAI SEBERANG;37166
1501182012;150118;TALANG TINGGI;37154
1501182013;150118;LUBUK TABUN;37166
1501182014;150118;KOTO LUA;37166
1501192001;150119;BATU HAMPAR;37165
1501192002;150119;SUNGAIRENAH;NULL
1501192003;150119;BEDENG DELAPAN;37165
1501192004;150119;BEDENG DUA;37165
1501192005;150119;SAKO DUO;37165
1501192006;150119;SUNGAILINTANG;NULL
1501192007;150119;KEBUN BARU;37165
1501192008;150119;PATOK EMPAT;37165
1501192009;150119;SUNGAIJAMBU;NULL
1501192010;150119;SUNGAIKERING;NULL
1501192011;150119;GIRI MULYO;37165
1501192012;150119;GUNUNGLABU;NULL
1501192013;150119;BENTO;37165
1501192014;150119;KAMPUNG BARU;37165
1501192015;150119;SUNGAIASAM;NULL
1501192016;150119;PASAR MINGGU;37165
1501192017;150119;ENSATU;37165
1501202001;150120;PASAR KERMAN;NULL
1501202002;150120;LOLO GEDANG;NULL
1501202003;150120;LOLO KECIL;NULL
1501202004;150120;LOLO HILIR;NULL
1501202005;150120;TANJUNG SYAM;NULL
1501202006;150120;TALANG KEMUNING;NULL
1501202007;150120;PONDOK;NULL
1501202008;150120;MUAK;NULL
1501202009;150120;PENGASI LAMA;NULL
1501202010;150120;PULAUPANDAN;NULL
1501202011;150120;PULAUSANGKAR;NULL
1501202012;150120;BINTANG MARAK;NULL
1501202013;150120;KARANG PANDAN;NULL
1501202014;150120;PENGASI BARU;NULL
1501202015;150120;MUARO LULO;NULL
1501212001;150121;KOTO MEBAI;NULL
1501212002;150121;BARU;NULL
1501212003;150121;AIR PANAS;NULL
1501212004;150121;HAMPARAN PUGU;NULL
1501212005;150121;PUGU;NULL
1501212006;150121;KOTO MUDIK;NULL
1501212007;150121;KOTO TENGAH;37154
1501212008;150121;KOTO DATUK;NULL
1501212009;150121;KOTO DUA BARU;NULL
1501212010;150121;KOTO CAYO;37154
1501212011;150121;KECIL;NULL
1501212012;150121;AIR BERSIH;NULL
1502012001;150201;RENAH KEMUMU;37372
1502012002;150201;TANJUNG KASRI;37372
1502012003;150201;LUBUK MENTILIN;37372
1502012004;150201;RANTAU KERMAS;37372
1502012005;150201;RENAH ALAI;37372
1502012008;150201;PULAU TENGAH;37372
1502012009;150201;LUBUK PUNGGUK;37372
1502012010;150201;KOTO RENAH;NULL
1502012011;150201;MUARA MADRAS;37372
1502012023;150201;RENAH PELAAN;37372
1502012024;150201;KOTO RAWANG;37372
1502021009;150202;PASAR ATAS;NULL
1502021010;150202;PASAR BANGKO;NULL
1502021011;150202;DUSUN BANGKO;NULL
1502021013;150202;PEMATANG KANDIS;NULL
1502022004;150202;KUNGKAI;37319
1502022008;150202;MUDO;NULL
1502022012;150202;LANGLING;37319
1502022024;150202;SUNGAI KAPAS;37319
1502032004;150203;DURIAN RAMBUN;37371
1502032007;150203;LUBUK BIRAH;37371
1502032008;150203;LUBUK BERINGIN;37371
1502032009;150203;RANTAU MACANG;37371
1502032010;150203;PERADU TEMBERAS;37371
1502032011;150203;TELUK SIKUMBANG;37371
1502032012;150203;MUARA SIAU;37371
1502032013;150203;TIARO;37371
1502032015;150203;AIR LAGO;37371
1502032016;150203;BADAK TEKURUNG;37371
1502032017;150203;RANTAU BIDARO;37371
1502032018;150203;RANTAU PANJANG;37371
1502032021;150203;PULAU RAMAN;37371
1502032024;150203;PASAR MUARA SIAU;37371
1502032027;150203;SEPANTAI RENAH;37371
1502032028;150203;SUNGAI ULAS;37371
1502032029;150203;RANTAU BAYUR;37371
1502042007;150204;SUNGAI PINANG;37361
1502042008;150204;TIANGKO;37361
1502042009;150204;PALIPAN;37361
1502042010;150204;SERINGAT;37361
1502042011;150204;DURIAN LECAH;37361
1502042015;150204;BUKIT BATU;37361
1502042016;150204;SUNGAI NILAU;37361
1502042017;150204;SUNGAI MANAU;37361
1502042025;150204;BENTENG;37361
1502042026;150204;GELANGGANG;37361
1502051002;150205;DUSUN BARU;NULL
1502051003;150205;PASAR R. PANJANG;NULL
1502051005;150205;KAMPUNG BARUH;NULL
1502051020;150205;MAMPUN;NULL
1502051036;150205;PS.BARU RANTAU;NULL
1502052007;150205;KANDANG;37353
1502052008;150205;KOTO RAYO;37353
1502052011;150205;TANJUNG ILIR;37353
1502052014;150205;BELURAN PANJANG;37353
1502052015;150205;SELING;37353
1502052035;150205;LUBUK NAPAL;37353
1502061008;150206;PAMENANG;NULL
1502062004;150206;JELATANG;37357
1502062005;150206;TANJUNG GEDANG;37357
1502062006;150206;EMPANG BENAO;37357
1502062007;150206;REJO SARI;37357
1502062009;150206;KEROYA;NULL
1502062010;150206;MUARA BELENGO;37357
1502062011;150206;KARANG BERAHI;37357
1502062012;150206;PAUH MENANG;37357
1502062013;150206;PEMATANG KANCIL;37357
1502062014;150206;TANAH ABANG;37357
